GeneName	PMID	PublicationYear
ATXN2	26374734	2015
ATXN2	26362908	2015
ATXN2	26354989	2015
ATXN2	26095883	2015
ATXN2	26086378	2015
ATXN2	26077168	2015
ATXN2	26054379	2015
ATXN2	25893506	2015
ATXN2	25790475	2015
ATXN2	25721894	2015
ATXN2	25634432	2015
ATXN2	25527265	2014
ATXN2	25466696	2014
ATXN2	25285812	2014
ATXN2	25189938	2014
ATXN2	25189117	2014
ATXN2	25111021	2014
ATXN2	25098532	2014
ATXN2	24972706	2014
ATXN2	24908169	2014
ATXN2	24866401	2014
ATXN2	24780882	2014
ATXN2	24780439	2014
ATXN2	24718895	2014
ATXN2	24534762	2014
ATXN2	24269018	2013
ATXN2	24209901	2013
ATXN2	23959108	2013
ATXN2	23844332	2013
ATXN2	23635656	2013
ATXN2	23634774	2013
ATXN2	23368522	2013
ATXN2	23197749	2012
ATXN2	23047744	2012
ATXN2	23026538	2012
ATXN2	22868089	2012
ATXN2	22831947	2012
ATXN2	22650353	2012
ATXN2	22520093	2012
ATXN2	22507827	2012
ATXN2	22425256	2012
ATXN2	22297462	2012
ATXN2	22053702	2011
ATXN2	22035589	2011
ATXN2	21889984	2011
ATXN2	21880993	2011
ATXN2	21832228	2011
ATXN2	21741123	2011
ATXN2	21610160	2011
ATXN2	21600833	2011
ATXN2	21562247	2011
ATXN2	21537950	2011
ATXN2	21479228	2011
ATXN2	21329459	2011
ATXN2	20960485	2010
ATXN2	20740007	2010
ATXN2	20095980	2010
ATXN2	20070987	2010
ATXN2	20069235	2010
ATXN2	22353486	2010
ATXN2	19676102	2009
ATXN2	19672991	2009
ATXN2	19473475	2009
ATXN2	19429075	2009
ATXN2	19049837	2008
ATXN2	18990604	2008
ATXN2	18759344	2008
ATXN2	18685131	2008
ATXN2	18418678	2008
ATXN2	18297329	2008
ATXN2	18182848	2008
ATXN2	18028243	2007
ATXN2	17961920	2007
ATXN2	17923635	2007
ATXN2	17712857	2007
ATXN2	17620498	2007
ATXN2	17568014	2007
ATXN2	17440947	2007
ATXN2	17420317	2007
ATXN2	16687213	2006
ATXN2	16436644	2006
ATXN2	16389595	2006
ATXN2	16000334	2005
ATXN2	15911147	2005
ATXN2	15747371	2005
ATXN2	22473187	2005
ATXN2	15553088	2004
ATXN2	15533937	2004
ATXN2	15504570	2004
ATXN2	15300851	2004
ATXN2	15265035	2004
ATXN2	15148151	2004
ATXN2	15133829	2004
ATXN2	15080863	2004
ATXN2	14967767	2004
ATXN2	14966163	2004
ATXN2	14756671	2004
ATXN2	14732617	2004
ATXN2	12853230	2003
ATXN2	12812977	2003
ATXN2	12810491	2003
